sku,category_id
51257238,87520
51180468,77012
51162179,93068
51207393,89020
51234248,91587
51239896,87349
51181179,118716
51181611,107519
51183177,109610
51162352,93068
51162409,84852
51207404,87529
51207519,89029
51255248,93352
51185394,92519
51185653,86725
51186053,89251
51164269,88546
51164269,92402
51207554,87562
51207560,89029
51208948,92327
51257373,109610
51257465,88189
51187568,118076
51164958,83913
51209448,89020
51243591,91593
51244307,87487
51187582,117977
51187991,89251
51165821,118091
51166250,88306
51256380,89023
51256408,89023
51191956,109463
51167807,92300
51213385,88684
51213385,89350
51221692,109463
51199487,98444
51221761,109463
51222397,93109
51247990,88138
51248038,87811
51199493,98351
51199548,87520
51199556,89014
51199562,87520
51169742,92519
51170751,87352
51222489,93109
51222489,89344
51226598,89026
51201347,87520
51201416,87553
51201439,89023
51201439,87553
51171744,000000
51226871,92843
51226888,92951
51254848,109463
51254860,93376
51152940,91425
51171767,109571
51172138,118860
51172188,118860
51172196,118716
51227461,92951
51227490,92951
51229263,92537
51173431,106237
51173431,106338
50970825,92735
51078642,87553
50975244,77246
50975273,77246
50858251,92312
50999170,88537
50999204,109595
50975313,77246
50976842,86800
50860472,107699
50860685,88108
50860719,88465
50860719,92261
51089859,87523
51106028,98351
51109872,118527
50977553,91144
50999509,74942
50999521,88474
50999550,92324
51001117,86986
51109895,118533
51110846,88483
50980448,109493
50980491,88915
50980525,86467
50868383,109577
50870483,87568
51001146,89035
51001146,87352
51001181,89035
51111511,88516
51111528,88516
51111528,92360
51111690,88444
50981228,89476
50982650,87181
50982673,88177
50872976,109616
51001244,87352
51138938,87811
51138969,88219
50982759,91596
50982765,91596
50982794,92465
50982805,91596
50880413,89023
51002364,92852
51002370,88159
51002871,91593
51002888,91593
51139162,88144
51139225,88138
51141968,92351
50984095,88483
50984095,92279
51002934,91593
51003017,92462
51113532,88444
51121608,91084
50985558,92465
50985595,92465
50882169,107702
50882958,88186
50882970,87190
50882993,000000
50882993,106919
50883082,92300
50883099,88498
51004638,109439
51004742,109439
51141982,92351
51141999,92534
51142028,88480
51142028,92276
51005879,89017
51005885,89017
51112118,107504
51113244,86710
50988321,109568
50988442,89041
50988442,93322
50989090,88549
51132526,91144
50887509,86812
51005977,87529
51006354,89026
50995813,92312
50908279,109571
